Host Star Name,Planetary Name,Planets in host system,Constellation
11 Com,11 Com b,1,Cygnus
11 UMi,11 UMi b,1,Ursa Minor
14 And,14 And b,1,Andromeda
14 Her,14 Her b,1,Hercules
16 Cyg B,16 Cyg B b,1,Cygnus
18 Del,18 Del b,1,Delphinus
1RXS J160929.1-210524,1RXS J160929.1-210524 b,1,Scorpio
24 Boo,24 Boo b,1,Bootes
24 Sex,24 Sex b,2,Sextans
24 Sex,24 Sex c,2,Sextans
2MASS J01225093-2439505,2MASS J01225093-2439505 b,1,Taurus
2MASS J02192210-3925225,2MASS J02192210-3925225 b,1,Taurus
2MASS J04414489+2301513,2MASS J04414489+2301513 b,1,Taurus
2MASS J12073346-3932539,2MASS J12073346-3932539 b,1,Centaurus
2MASS J19383260+4603591,2MASS J19383260+4603591 b,1,Cygnus
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,1,Pegasus
2MASS J22362452+4751425,2MASS J22362452+4751425 b,1,Lacerta
30 Ari B,30 Ari B b,1,Aries
4 UMa,4 UMa b,1,Ursa Major
42 Dra,42 Dra b,1,Draco
47 UMa,47 UMa b,3,Ursa Major
47 UMa,47 UMa c,3,Ursa Major
47 UMa,47 UMa d,3,Ursa Major
51 Eri,51 Eri b,1,Eridanus
51 Peg,51 Peg b,1,Pegasus
55 Cnc,55 Cnc b,5,Cancer
55 Cnc,55 Cnc c,5,Cancer
55 Cnc,55 Cnc d,5,Cancer
55 Cnc,55 Cnc e,5,Cancer
55 Cnc,55 Cnc f,5,Cancer
6 Lyn,6 Lyn b,1,Lynx
61 Vir,61 Vir b,3,Virgo
61 Vir,61 Vir c,3,Virgo
61 Vir,61 Vir d,3,Virgo
7 CMa,7 CMa b,1,Canis Major
70 Vir,70 Vir b,1,Virgo
75 Cet,75 Cet b,1,Cetus
8 UMi,8 UMi b,1,Ursa Minor
81 Cet,81 Cet b,1,Cetus
91 Aqr,91 Aqr b,1,Aquarius
AB Pic,AB Pic b,1,Pictor
BD+03 2562,BD+03 2562 b,1,Virgo
BD+14 4559,BD+14 4559 b,1,Pegasus
BD+15 2375,BD+15 2375 b,1,Leo
BD+15 2940,BD+15 2940 b,1,
BD+20 2457,BD+20 2457 b,2,Leo
BD+20 2457,BD+20 2457 c,2,Leo
BD+20 274,BD+20 274 b,1,Cepheus
BD+20 594,BD+20 594 b,1,Auriga
BD+48 738,BD+48 738 b,1,Cassiopeia
BD+48 740,BD+48 740 b,1,Perseus
BD+49 828,BD+49 828 b,1,Perseus
BD-06 1339,BD-06 1339 b,2,Orion
BD-06 1339,BD-06 1339 c,2,Orion
BD-08 2823,BD-08 2823 b,2,Sextans
BD-08 2823,BD-08 2823 c,2,Sextans
BD-10 3166,BD-10 3166 b,1,Crater
BD-11 4672,BD-11 4672 b,1,Capricorn
BD-13 2130,BD-13 2130 b,1,Puppis
BD-17 63,BD-17 63 b,1,Cetus
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,1,Bootes
CHXR 73,CHXR 73 b,1,Chamaeleon
CI Tau,CI Tau b,1,Taurus
CT Cha,CT Cha b,1,Chamaeleon
CoRoT-1,CoRoT-1 b,1,Monoceros
CoRoT-10,CoRoT-10 b,1,Monoceros
CoRoT-11,CoRoT-11 b,1,Serpens
CoRoT-12,CoRoT-12 b,1,Monoceros
CoRoT-13,CoRoT-13 b,1,Monoceros
