Star,Constellation,Mass,Radius
TRAPPIST-1,Aquarius,0.08,0.114
Proxima Centauri,Centaurus,0.123,0.141
HD 142,Phoenix,1.101,0.862
WASP-44,Cetus,0.951,0.927
WASP-32,Pisces,1.103,1.111
GJ 3021,Hydrus,0.897,0.901
WASP-26,Cetus,1.119,1.337
HD 1461,Cetus,1.078,1.095
HD 1502,Pisces,1.612,4.452
WASP-1,Andromeda,1.237,1.382
WASP-45,Sculptor,0.909,0.945
HD 1690,Cetus,1.093,16.739
HD 2039,Phoenix,0.981,1.207
HIP 2247,Cetus,0.743,0.688
HD 2638,Cetus,0.933,1.063
HAT-P-19,Andromeda,0.842,0.82
HAT-P-16,Andromeda,1.218,1.237
54 Piscium,Pisces,0.789,0.869
HD 4113,Sculptor,0.985,1.033
HD 4208,Sculptor,0.928,0.854
HD 4308,Tucana,0.833,0.916
HD 4203,Pisces,1.063,1.334
HD 4313,Pisces,1.719,4.873
HD 5319,Cetus,1.564,3.255
HD 5608,Andromeda,1.55,5.5
HD 6434,Phoenix,0.99,0.569
HIP 5158,Cetus,0.778,0.782
HD 6718,Cetus,0.964,1.276
HD 7199,Tucana,0.887,0.957
HD 7449,Cetus,1.05,1.009
HD 7924,Cassiopeia,0.832,0.832
HD 8535,Phoenix,1.135,1.473
HD 8574,Pisces,1.044,1.369
HD 9578,Sculptor,1.12,1.096
HD 9446,Triangulum,1.003,0.997
Upsilon Andromedae,Andromeda,1.01,1.699
WASP-18,Phoenix,1.281,1.234
HD 10180,Hydrus,1.055,1.085
HD 10647,Eridanus,1.069,1.06
WASP-56,Triangulum,1.183,1.133
109 Piscium,Pisces,1.15,1.722
HD 11506,Cetus,1.191,1.376
Eta2 Hydri,Hydrus,1.91,12.997
HD 11964,Cetus,1.125,0.966
WASP-41,Perseus,0.952,1.008
HAT-P-32,Andromeda,1.176,1.387
HD 12661,Aries,1.068,1.116
Alpha Arietis,Aries,1.498,13.911
Gliese 86,Eridanus,0.801,0.855
HD 13808,Eridanus,0.823,0.836
HD 13931,Andromeda,1.025,1.231
HD 15082,Andromeda,1.495,1.444
79 Ceti,Cetus,1.002,0.975
30 Arietis B,Aries,1.13,1.13
HD 16417,Fornax,1.178,1.096
HD 16175,Perseus,1.35,1.866
81 Ceti,Cetus,2.423,11.081
Iota Horologii,Horologium,1.107,1.852
SAO 38269,Perseus,0.743,11.175
HD 17092,Perseus,2.323,7.748
HIP 12961,Eridanus,0.632,0.675
HD 17156,Cassiopeia,1.205,1.469
WASP-50,Eridanus,0.892,0.843
HD 18742,Eridanus,1.6,4.915
HD 20003,Hydrus,0.875,0.936
WTS-1,Eridanus,0.717,0.832
HIP 14810,Aries,0.989,1.024
94 Ceti,Cetus,1.353,0.805
HAT-P-25,Aries,1.011,0.959
HD 20367,Aries,1.044,1.209
82 G. Eridani,Eridanus,0.701,0.712
HD 20781,Fornax,0.89,0.942
HD 20782,Fornax,0.964,1.018
HD 20868,Fornax,0.775,0.787
WASP-49,Eridanus,0.866,0.931
HD 21693,Reticulum,1.024,1.214
WASP-22,Eridanus,1.088,1.127
Epsilon Eridani,Eridanus,0.825,0.895
UZ Fornacis,Fornax,0.843,0.814
HD 23127,Reticulum,1.131,1.047
HD 23079,Reticulum,1.102,1.127
WASP-69,Taurus,0.876,0.818
HD 23596,Perseus,1.268,1.604
HD 24040,Taurus,1.177,1.436
HD 24496 A,Taurus,0.95,0.902
HD 25171,Reticulum,1.086,1.179
WASP-68,Perseus,1.078,1.062
WASP-57,Eridanus,1.032,1.042
Epsilon Reticuli,Reticulum,1.177,6.589
HD 27631,Horologium,1.021,1.081
HD 27894,Reticulum,0.75,0.84
XO-3,Camelopardalis,1.213,1.377
HD 28254,Dorado,1.06,1.103
HAT-P-15,Perseus,1.013,1.08
HD 28185,Eridanus,0.992,1.04
Epsilon Tauri,Taurus,2.723,13.672
HD 28678,Taurus,1.745,6.183
LkCa 15,Taurus,0.97,0.813
2M J044144,Taurus,0.021,0.078
HD 30177,Dorado,0.946,1.116
Gliese 176,Taurus,0.492,0.534
HD 30562,Eridanus,1.219,1.637
HD 30856,Eridanus,1.349,4.233
Gliese 179,Orion,0.365,0.375
HD 31253,Orion,1.229,1.705
HD 31527,Eridanus,1.08,1.092
HD 268835,Mensa,30,131
WASP-61,Lepus,1.215,1.363
HD 33142,Lepus,1.475,4.195
HD 33283,Lepus,1.239,1.2
HD 32518,Camelopardalis,1.129,10.217
HD 34445,Orion,1.072,1.382
HD 33564,Camelopardalis,1.251,1.111
HD 290327,Orion,0.901,1.765
HD 37974,Dorado,70,72
HD 38283,Mensa,1.085,1.187
HD 37124,Taurus,0.83,0.824
Pi Mensae,Mensa,1.123,2.086
HD 37605,Orion,0.786,0.835
HD 39194,Dorado,0.919,0.932
HD 38529,Orion,1.386,2.576
Beta Pictoris,Pictor,1.747,1.802
HD 38801,Orion,1.356,2.528
WASP-62,Dorado,1.253,1.281
HD 38858,Orion,1.047,1.033
HD 40307,Pictor,0.752,0.716
HD 41004 A,Pictor,0.722,0.719
HD 40979,Auriga,1.098,1.208
HD 43197,Canis Major,0.956,1.001
WASP-63,Columba,1.315,1.879
HD 43691,Auriga,1.379,1.289
HD 44219,Monoceros,1.003,1.254
HD 45184,Canis Major,1.063,1.127
HD 45364,Canis Major,0.815,0.759
COROT-19,Monoceros,1.212,1.651
HD 45350,Auriga,1.018,1.265
HD 45652,Monoceros,0.855,0.895
WASP-12,Auriga,1.349,1.565
6 Lyncis,Lynx,1.688,5.152
COROT-20,Monoceros,1.143,0.916
COROT-18,Monoceros,0.946,1.001
HD 46375,Monoceros,1.477,1.02
COROT-21,Monoceros,1.287,1.945
HD 47186,Canis Major,0.991,0.968
7 Canis Majoris,Canis Major,1.523,2.313
HD 47536,Canis Major,0.944,23.469
HD 48265,Puppis,0.933,1.035
COROT-12,Monoceros,1.078,1.116
WASP-35,Gemini,0.977,0.991
COROT-1,Monoceros,0.899,1.085
COROT-13,Monoceros,1.09,1.011
HD 49674,Auriga,1.074,0.942
HD 50499,Puppis,1.274,1.377
COROT-14,Monoceros,1.133,1.212
HD 50554,Gemini,1.044,1.113
Gliese 253,Carina,0.994,1.326
COROT-7,Monoceros,0.926,0.866
COROT-5,Monoceros,0.998,1.186
HD 52265,Monoceros,1.204,1.249
HAT-P-24,Gemini,1.191,1.317
COROT-4,Monoceros,1.098,1.154
HAT-P-9,Auriga,1.277,1.322
XO-4,Lynx,1.32,1.554
HAT-P-20,Gemini,0.76,0.69
HD 59686,Gemini,1.875,11.621
HAT-P-33,Gemini,1.403,1.777
HD 60532,Puppis,1.444,2.52
